Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776102603,10,,Aggregated,4.700000,4.600000,6,340,390,450,650,860,1200,1600,2000,2000,2000,393,204,6,256.41190216733787,1.8602909985929728,2039.944666030351,3429.7811704834608
1776102605,10,,Aggregated,4.300000,3.900000,6,340,400,450,650,860,1200,1600,2000,2000,2000,395,205,6,256.20988884239307,1.8602909985929728,2039.944666030351,3435.913924050633
1776102606,10,,Aggregated,4.300000,3.700000,6,350,410,460,670,910,1200,1600,2000,2000,2000,398,205,6,260.23086015765097,1.8602909985929728,2039.944666030351,3435.095477386935
1776102607,10,,Aggregated,4.500000,3.400000,7,350,410,520,690,920,1300,1600,2000,2000,2000,402,205,6,269.9987506462071,1.8602909985929728,2039.944666030351,3468.305970149254
1776102608,10,,Aggregated,4.000000,2.800000,230,360,420,520,750,980,1500,1600,2000,2000,2000,406,205,11,280.1828482383266,1.8602909985929728,2039.944666030351,3521.229064039409
1776102609,10,,Aggregated,3.800000,2.300000,240,360,420,520,750,980,1500,1600,2000,2000,2000,410,206,230,280.30331079697623,1.8602909985929728,2039.944666030351,3532.468292682927
1776102610,10,,Aggregated,3.900000,2.000000,250,360,420,520,750,980,1500,1600,2000,2000,2000,412,206,240,281.47731201883715,1.8602909985929728,2039.944666030351,3518.0922330097087
1776102611,10,,Aggregated,3.500000,1.200000,250,360,420,520,750,980,1500,1600,2000,2000,2000,413,206,250,281.9830249437158,1.8602909985929728,2039.944666030351,3510.956416464891
1776102612,10,,Aggregated,3.300000,0.700000,270,360,430,530,780,1100,1500,1700,2000,2000,2000,416,206,260,290.2157515233669,1.8602909985929728,2039.944666030351,3549.387019230769
1776102613,10,,Aggregated,3.200000,0.400000,270,370,440,540,800,1100,1700,1900,2000,2000,2000,422,206,270,310.1071841654509,1.8602909985929728,2039.944666030351,3605.0142180094786
1776102614,10,,Aggregated,3.200000,0.400000,270,370,440,540,800,1100,1700,1900,2000,2000,2000,425,206,270,310.58496933827615,1.8602909985929728,2039.944666030351,3622.510588235294
1776102615,10,,Aggregated,3.100000,0.300000,270,370,440,540,800,1100,1700,1900,2000,2000,2000,426,206,270,310.76368683989557,1.8602909985929728,2039.944666030351,3634.758215962441
1776102616,10,,Aggregated,3.500000,0.300000,270,370,440,540,800,1100,1700,1900,2000,2000,2000,427,206,270,312.3689355241163,1.8602909985929728,2039.944666030351,3646.9484777517564
1776102617,10,,Aggregated,3.200000,0.200000,270,370,450,550,860,1300,1900,2000,2100,2100,2100,432,206,270,331.53570093243076,1.8602909985929728,2122.601624985691,3707.053240740741
1776102618,10,,Aggregated,3.100000,0.100000,280,370,460,570,910,1500,1900,2000,2100,2100,2100,436,206,270,344.1257315822407,1.8602909985929728,2122.601624985691,3754.144495412844
1776102619,10,,Aggregated,2.900000,0.100000,280,380,460,570,910,1500,1900,2000,2100,2100,2100,440,206,280,344.9044430157466,1.8602909985929728,2122.601624985691,3781.586363636364
1776102620,10,,Aggregated,3.000000,0.100000,290,380,450,570,890,1400,1900,2000,2100,2100,2100,444,206,280,345.1713918173908,1.8602909985929728,2122.601624985691,3808.5337837837837
1776102621,10,,Aggregated,3.000000,0.100000,280,380,450,570,890,1400,1900,2000,2100,2100,2100,448,207,280,344.0714018971838,1.8602909985929728,2122.601624985691,3797.796875
1776102622,10,,Aggregated,3.000000,0.000000,290,380,450,550,860,1400,1900,2000,2100,2100,2100,452,207,290,343.99845779642146,1.8602909985929728,2122.601624985691,3824.1238938053098
1776102623,10,,Aggregated,3.200000,0.000000,290,370,450,550,860,1400,1900,2000,2100,2100,2100,457,208,290,343.2216692340909,1.8602909985929728,2122.601624985691,3860.625820568928
1776102624,10,,Aggregated,3.600000,0.100000,290,380,450,550,860,1400,1900,2000,2100,2100,2100,460,209,290,343.54168425210366,1.8602909985929728,2122.601624985691,3856.8673913043476
1776102625,10,,Aggregated,3.600000,0.100000,290,380,450,570,890,1400,1900,2000,2100,2100,2100,466,210,290,347.9573535555554,1.8602909985929728,2122.601624985691,3885.261802575107
1776102626,10,,Aggregated,3.500000,0.200000,290,380,450,570,890,1400,1900,2000,2100,2100,2100,470,210,290,347.9110766082081,1.8602909985929728,2122.601624985691,3909.836170212766
1776102627,10,,Aggregated,4.000000,0.400000,290,380,450,570,880,1400,1900,2000,2100,2100,2100,475,211,290,346.95869027771744,1.8602909985929728,2122.601624985691,3944.0526315789475
1776102628,10,,Aggregated,4.300000,0.400000,290,380,460,570,880,1400,1900,2000,2100,2100,2100,479,211,290,349.81061022527933,1.8602909985929728,2122.601624985691,3967.6743215031315
1776102629,10,,Aggregated,4.200000,0.500000,290,380,460,570,860,1300,1900,2000,2100,2100,2100,484,215,290,347.6913891300224,1.8602909985929728,2122.601624985691,3945.619834710744
1776102630,10,,Aggregated,4.200000,0.500000,290,380,450,570,860,1300,1900,2000,2100,2100,2100,489,220,290,344.17239315929237,1.8602909985929728,2122.601624985691,3906.1042944785277
1776102631,10,,Aggregated,4.300000,0.800000,290,370,450,570,860,1300,1900,2000,2100,2100,2100,494,225,290,340.7183901920796,1.8602909985929728,2122.601624985691,3867.388663967611
1776102632,10,,Aggregated,4.300000,0.800000,290,370,450,570,860,1300,1900,2000,2100,2100,2100,497,228,290,338.68344752698897,1.8602909985929728,2122.601624985691,3844.533199195171
1776102633,10,,Aggregated,4.400000,1.300000,290,370,450,570,860,1300,1900,2000,2100,2100,2100,500,231,290,336.66838492581155,1.8602909985929728,2122.601624985691,3821.952
1776102634,10,,Aggregated,4.500000,2.100000,280,370,450,550,860,1300,1900,2000,2100,2100,2100,508,239,280,331.4263248934381,1.8602909985929728,2122.601624985691,3763.0393700787404
1776102635,10,,Aggregated,4.300000,2.300000,280,370,440,550,860,1300,1900,2000,2100,2100,2100,510,241,280,330.13897566044903,1.8602909985929728,2122.601624985691,3748.6
1776102636,10,,Aggregated,4.800000,2.900000,270,370,440,540,850,1300,1900,2000,2100,2100,2100,516,247,270,326.3451066760431,1.8602909985929728,2122.601624985691,3705.953488372093
1776102637,10,,Aggregated,4.300000,3.000000,270,370,440,540,850,1300,1900,2000,2100,2100,2100,520,251,270,323.8609544132487,1.8602909985929728,2122.601624985691,3678.0692307692307
1776102638,10,,Aggregated,4.300000,3.000000,270,370,440,540,840,1300,1900,2000,2100,2100,2100,526,257,270,320.2021878230175,1.8602909985929728,2122.601624985691,3637.0380228136883
1776102639,10,,Aggregated,4.400000,3.500000,270,360,430,540,840,1300,1900,2000,2100,2100,2100,530,261,270,317.81262665820077,1.8602909985929728,2122.601624985691,3610.2
1776102640,10,,Aggregated,4.800000,4.600000,270,360,430,540,810,1300,1900,2000,2100,2100,2100,533,264,270,316.04150446111294,1.8602909985929728,2122.601624985691,3590.3358348968104
1776102641,10,,Aggregated,4.800000,4.600000,240,360,420,530,810,1300,1900,2000,2100,2100,2100,539,270,240,312.55943893857994,1.8602909985929728,2122.601624985691,3551.2708719851576
1776102642,10,,Aggregated,4.700000,4.700000,11,360,420,530,810,1200,1900,2000,2100,2100,2100,543,274,11,310.28079712513875,1.8602909985929728,2122.601624985691,3525.707182320442
1776102643,10,,Aggregated,4.300000,4.300000,7,350,420,530,810,1200,1900,2000,2100,2100,2100,548,279,7,307.4792849853164,1.8602909985929728,2122.601624985691,3494.2773722627735
1776102644,10,,Aggregated,4.600000,4.600000,6,350,420,520,800,1200,1900,2000,2100,2100,2100,555,286,6,303.6435063927317,1.8602909985929728,2122.601624985691,3451.227027027027
